title:string,image_url:string,size:number,title_url:string,year:number,quarter:string
Europa in een bibliotheek,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-51.507&size=LARGE&type=IMAGE,564,http://www.europeana.eu/portal/record/90402/RP_P_OB_51_507.html,2014,q1
Europa in een bibliotheek,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-51.507&size=LARGE&type=IMAGE,365,http://www.europeana.eu/portal/record/90402/RP_P_OB_51_507.html,2014,q3
Europa in een bibliotheek,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-51.507&size=LARGE&type=IMAGE,254,http://www.europeana.eu/portal/record/90402/RP_P_OB_51_507.html,2014,q2
Fontein met stroomgoden,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1973-121&size=LARGE&type=IMAGE,87,http://www.europeana.eu/portal/record/90402/RP_P_1973_121.html,2014,q3
Orchard,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-2885&size=LARGE&type=IMAGE,68,http://www.europeana.eu/portal/record/90402/SK_A_2885.html,2014,q2
Boerenbruiloft,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1981-1&size=LARGE&type=IMAGE,99,http://www.europeana.eu/portal/record/90402/RP_P_1981_1.html,2014,q3
Spiegellijsten en andere architectonische schetsen,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-T-1955-127%28V%29&size=LARGE&type=IMAGE,56,http://www.europeana.eu/portal/record/90402/RP_T_1955_127_V_.html,2014,q3
Titelprent van Don Quichotte,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-T-00-180&size=LARGE&type=IMAGE,56,http://www.europeana.eu/portal/record/90402/RP_T_00_180.html,2014,q1
Kroning van Maria door Christuskind,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-T-1980-20&size=LARGE&type=IMAGE,50,http://www.europeana.eu/portal/record/90402/RP_T_1980_20.html,2014,q1
Gezicht op Demak,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DNG-400-Z&size=LARGE&type=IMAGE,43,http://www.europeana.eu/portal/record/90402/NG_400_Z.html,2014,q3
"Mechanische Reisladen n. J. Furtenbach, 1644",http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1953-186&size=LARGE&type=IMAGE,43,http://www.europeana.eu/portal/record/90402/RP_P_1953_186.html,2014,q3
"Portrait of Arent Franckensz van der Meer, Lord of Papendrecht, called Malicious Aertje",http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-4715&size=LARGE&type=IMAGE,43,http://www.europeana.eu/portal/record/90402/SK_A_4715.html,2014,q3
Candlestick: knight with dragon,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-16916&size=LARGE&type=IMAGE,43,http://www.europeana.eu/portal/record/90402/BK_16916.html,2014,q2
Melpomene,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-10.120&size=LARGE&type=IMAGE,43,http://www.europeana.eu/portal/record/90402/RP_P_OB_10_120.html,2014,q1
Pair of vases (vase grec Duplessis rectifié),http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-17515-A&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/BK_17515_A.html,2014,q3
Gezicht op Jepara,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DNG-400-W&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/NG_400_W.html,2014,q3
Olifant met een olifantshuisje,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1973-117&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/RP_P_1973_117.html,2014,q3
Huwelijksaanzoek met Venus en Amor,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1906-3703&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/RP_P_1906_3703.html,2014,q1
Heilige Anastasius studeert in vertrek,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-BI-502&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/RP_P_BI_502.html,2014,q1
La Corniche near Monaco,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-1892&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/SK_A_1892.html,2014,q2
Portrait of a Girl Dressed in Blue,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DSK-A-3064&size=LARGE&type=IMAGE,37,http://www.europeana.eu/portal/record/90402/SK_A_3064.html,2014,q1
Table,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-1962-49&size=LARGE&type=IMAGE,31,http://www.europeana.eu/portal/record/90402/BK_1962_49.html,2014,q2
Houten schilderijlijst met figurale voorstellingen,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-1966-6&size=LARGE&type=IMAGE,31,http://www.europeana.eu/portal/record/90402/BK_1966_6.html,2014,q1
Kaarsenkroon met op twee hoogten acht armen,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-NM-9698&size=LARGE&type=IMAGE,31,http://www.europeana.eu/portal/record/90402/BK_NM_9698.html,2014,q2
Vrouw met kind in de armen,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1880-A-3990&size=LARGE&type=IMAGE,62,http://www.europeana.eu/portal/record/90402/RP_P_1880_A_3990.html,2014,q2
Portret van Adriaan Walraven,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1906-1015&size=LARGE&type=IMAGE,31,http://www.europeana.eu/portal/record/90402/RP_P_1906_1015.html,2014,q1
Portret van een onbekende man,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-1944-50&size=LARGE&type=IMAGE,31,http://www.europeana.eu/portal/record/90402/RP_P_1944_50.html,2014,q1
"Statiekoets van de hertog van Ossuna, 1713",http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DRP-P-OB-83.471-2&size=LARGE&type=IMAGE,62,http://www.europeana.eu/portal/record/90402/RP_P_OB_83_471_2.html,2014,q2
Aquamanile in the form of a lion,http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-16913&size=LARGE&type=IMAGE,25,http://www.europeana.eu/portal/record/90402/BK_16913.html,2014,q2
"Wierookvat, bolvormig",http://europeanastatic.eu/api/image?uri=https%3A%2F%2Fwww.rijksmuseum.nl%2Fassetimage2.jsp%3Fid%3DBK-16923&size=LARGE&type=IMAGE,25,http://www.europeana.eu/portal/record/90402/BK_16923.html,2014,q2
